trial	onset	contrast	stimulus_position	response	correct	logC_5th_perc	logC_mean	logC_95th_perc
1	180.48703002929688	1.0	upper_left	left	True	-1.3274433268132002	-0.5	0.3174433268131992
2	192.96297001838684	0.2630267991895382	upper_right	left	False	-1.372925178835807	-0.6068520372344228	0.19120468804255386
3	199.51886010169983	0.5495408738576245	upper_right	left	False	-0.8949019591660544	-0.4051885979275124	0.27709955391673813
4	205.65700602531433	0.6456542290346555	lower_right	right	True	-0.6358739077076181	-0.22580919686292605	0.3889039066002171
5	212.46272206306458	0.5495408738576245	lower_left	left	True	-0.6664337177749082	-0.2801399569446207	0.3410039344621577
6	218.78509211540222	0.8709635899560807	lower_right	right	True	-0.6932857392636449	-0.327257143317489	0.2963832739113468
7	224.8067021369934	0.4897788193684462	upper_left	left	True	-0.7083531908744003	-0.39594963942213374	0.1881429921950053
8	231.1785910129547	0.4897788193684462	lower_right	right	True	-0.7300791344771154	-0.43537903507649567	0.13016916729852124
9	237.36715006828308	0.6165950018614821	upper_left	left	True	-0.7514210439709318	-0.4758139757761344	0.05984721158765949
10	243.33883690834045	0.9120108393559098	lower_right	right	True	-0.7670104577823951	-0.5231535567314154	-0.06242385968354813
11	249.24386191368103	0.3019951720402016	upper_right	left	False	-0.77222136483955	-0.5567948027092671	-0.22524507976167207
12	255.3156340122223	0.32359365692962827	lower_right	left	False	-0.7488082478482311	-0.5389347197682365	-0.1931730581970923
13	261.20394492149353	0.33884415613920255	upper_right	left	False	-0.7318747597867841	-0.5218017297855372	-0.15662993348393522
14	267.10887598991394	0.35481338923357547	lower_right	right	True	-0.7167806975200047	-0.5043264403522189	-0.11725996393179877
15	273.16406297683716	0.35481338923357547	upper_right	right	True	-0.7259689864664564	-0.5184685678122611	-0.15300476298241367
16	279.48654198646545	0.3801893963205612	lower_right	left	False	-0.7353937477344381	-0.532923613969261	-0.1898135628160414
17	285.55789709091187	0.37153522909717257	upper_left	right	False	-0.7147255070102905	-0.5076439528120412	-0.13116440115929334
18	291.4628140926361	0.38904514499428056	lower_left	left	True	-0.6987871690457846	-0.4868265515067095	-0.08234753019278879
19	297.28447794914246	0.3311311214825911	upper_left	left	True	-0.7078872120684467	-0.5030652643136287	-0.12498303855182757
20	303.3061420917511	0.4570881896148751	lower_right	left	False	-0.7146790545643213	-0.5139382390147715	-0.1531011777355918
21	309.52807903289795	0.33884415613920255	lower_left	left	True	-0.6859195917556257	-0.4737237203794705	-0.05676711919229199
22	315.8501100540161	0.6309573444801932	lower_right	right	True	-0.6920616287608583	-0.484345050172818	-0.08337960692824359
23	322.05540800094604	0.44668359215096315	upper_left	left	True	-0.7007914365443366	-0.5165594494704184	-0.19671003339637388
24	327.927041053772	0.7079457843841379	upper_right	right	True	-0.7095532956637467	-0.5352126985461343	-0.25139799519265604
25	333.86541199684143	0.38904514499428056	upper_right	right	True	-0.7146980768631556	-0.5592843404250641	-0.34073965451829624
26	340.3710820674896	0.29512092266663853	upper_right	left	False	-0.7213162778337912	-0.5709343210951277	-0.3657420184486233
27	346.3426151275635	0.40738027780411273	upper_left	left	True	-0.7160950903693136	-0.564003843565697	-0.35290738159646884
28	352.1475179195404	0.32359365692962827	lower_left	right	False	-0.7229915339702949	-0.5764981127039149	-0.3796520867463561
29	358.3695111274719	0.33884415613920255	lower_right	right	True	-0.7158839716437108	-0.5671731124325162	-0.3626864131819151
30	364.5412781238556	0.3311311214825911	upper_left	right	False	-0.7206872436015579	-0.5751742080634149	-0.3786606745166082
31	370.66314911842346	1.0	lower_right	right	True	-0.7134165267733089	-0.5652765971803219	-0.36057553078762705
32	376.7516579627991	0.32359365692962827	upper_left	left	True	-0.714374079015671	-0.575848983387773	-0.4019133678726444
33	382.5231990814209	0.29512092266663853	upper_left	left	True	-0.7185718755146724	-0.5819587265381211	-0.4113836962671432
34	388.87858295440674	0.3019951720402016	upper_right	right	True	-0.7221701110283475	-0.5867369598047375	-0.4184867073809809
35	394.7001450061798	0.29512092266663853	lower_left	left	True	-0.7260533039424829	-0.5918720145723569	-0.4259553650864438
36	400.772234916687	0.28183829312644537	lower_left	left	True	-0.7294375212489733	-0.5967263702657161	-0.4329779905574458
37	406.51008892059326	0.251188643150958	upper_right	right	True	-0.7329032982077925	-0.6010240520039104	-0.4391522721951949
38	412.14824390411377	0.29512092266663853	lower_left	left	True	-0.7354050883256051	-0.6041101668918073	-0.44327674552725305
39	417.9865119457245	0.32359365692962827	lower_left	right	False	-0.7389447574288648	-0.6090741433700579	-0.4503706198002519
40	424.0749900341034	0.35481338923357547	lower_right	right	True	-0.7316518041768204	-0.6004630578613689	-0.43904617684890557
41	429.8131880760193	0.35481338923357547	upper_right	right	True	-0.7369857346090988	-0.6081902676081613	-0.4505831922833577
42	435.68482208251953	0.36307805477010135	upper_right	right	True	-0.7421165607730065	-0.615877183436518	-0.4618401575956663
43	441.4230020046234	0.23988329190194904	upper_left	left	True	-0.7474807985246653	-0.6238839124163394	-0.4735989264423929
44	447.27791690826416	0.38904514499428056	lower_right	right	True	-0.7494458709623166	-0.6265830950445944	-0.47720040653500967
45	452.9660749435425	0.29512092266663853	lower_right	right	True	-0.7553634730736277	-0.6355434980660115	-0.49087219065056187
46	458.804484128952	0.2344228815319922	lower_right	right	True	-0.7588182273942088	-0.6404132440932898	-0.4974451409944656
47	464.50917291641235	0.2570395782768864	upper_right	left	False	-0.7608471386967566	-0.6429676330033347	-0.5008618654442333
48	470.91457200050354	0.3981071705534972	upper_right	right	True	-0.757498469227023	-0.6389270555611453	-0.49566820397729683
49	476.586061000824	0.29512092266663853	upper_right	right	True	-0.7630174910059886	-0.6478622617953047	-0.5096055568419566
50	482.2408039569855	0.2754228703338166	upper_left	left	True	-0.7666499490562111	-0.6526480108120966	-0.5159913476417258
51	488.0623531341553	0.24547089156850305	lower_left	left	True	-0.7695100133095811	-0.6566630706337191	-0.5214850038189952
52	493.7839410305023	0.30902954325135906	upper_right	right	True	-0.7720532415307577	-0.6595915809902678	-0.5252296187977327
53	499.93963599205017	0.2344228815319922	upper_right	right	True	-0.7761989488017969	-0.6649877187129747	-0.5327608366501116
54	506.11123991012573	0.21877616239495523	lower_right	left	False	-0.7782248573599537	-0.6675820416212288	-0.5361099663066015
55	512.1160800457001	0.28840315031266056	upper_right	right	True	-0.7761972680764104	-0.6651797792638208	-0.5331449564757726
56	517.687490940094	0.2570395782768864	lower_right	right	True	-0.7794525650247656	-0.6697469622658285	-0.5395239509758902
57	523.4256749153137	0.2137962089502232	upper_left	left	True	-0.7824075901135032	-0.6731396899733807	-0.5438413424586906
58	529.3640069961548	0.21877616239495523	upper_left	left	True	-0.7842216828043563	-0.6751335657869071	-0.5464107414435996
59	535.0521500110626	0.2290867652767773	upper_left	left	True	-0.7860754193990005	-0.6772877358806624	-0.5493288569246009
60	540.7238280773163	0.23988329190194904	upper_right	right	True	-0.7880853396102976	-0.679778506774838	-0.5524282176682624
61	546.5285351276398	0.30902954325135906	upper_left	left	True	-0.7903325041274518	-0.68264773121198	-0.5561152090186211
62	552.300017118454	0.2630267991895382	upper_left	left	True	-0.7949017338721851	-0.6881150701646539	-0.5637158514815833
63	558.1383540630341	0.21877616239495523	upper_left	left	True	-0.7979256902668306	-0.6918524995147084	-0.5687866566777319
64	563.8597891330719	0.20892961308540398	upper_right	right	True	-0.7997255190440686	-0.6941021916418495	-0.5716138236535699
65	570.2485599517822	0.2570395782768864	lower_left	left	True	-0.8017000409445436	-0.696077544250094	-0.5740086436372501
66	575.9200210571289	0.22387211385683395	upper_left	left	True	-0.8050024201028623	-0.6996684121204935	-0.5788441136354792
67	581.5747981071472	0.2290867652767773	lower_left	left	True	-0.8072030114884552	-0.7021419495808396	-0.5819180312141646
68	587.3464131355286	0.20892961308540398	lower_left	left	True	-0.8094233109498603	-0.7048096724257606	-0.5852163879246525
69	593.2512900829315	0.2754228703338166	lower_right	right	True	-0.8114751075367885	-0.7068674815512878	-0.587862655039401
70	598.9728310108185	0.24547089156850305	lower_left	right	False	-0.8155082075890138	-0.7112507083445474	-0.5935784446097457
71	604.9936289787292	0.2754228703338166	lower_left	left	True	-0.8109018986378193	-0.7070043021130861	-0.588658119218631
72	610.6660859584808	0.20892961308540398	lower_left	left	True	-0.8149305980909363	-0.711339087690841	-0.5942699607134024
73	616.4376130104065	0.2137962089502232	lower_right	right	True	-0.8168800546251087	-0.7134184732950274	-0.5968865172114712
74	622.5260260105133	0.2137962089502232	lower_right	right	True	-0.8188663287961322	-0.7156657939633417	-0.5998731246840444
75	628.3810079097748	0.19952623149688797	upper_right	right	True	-0.8210456888512434	-0.7179360984599421	-0.6024946618467457
76	634.4194979667664	0.2290867652767773	upper_left	left	True	-0.8230852667950586	-0.7198040901811631	-0.6047106827313365
77	640.7085249423981	0.19498445997580455	upper_left	left	True	-0.8258670373454873	-0.7226213134488879	-0.608326405669648
78	646.5797770023346	0.23988329190194904	lower_right	right	True	-0.827589438088352	-0.7244042262435154	-0.6105507220578281
79	652.2845919132233	0.22387211385683395	lower_left	left	True	-0.830520220950286	-0.7276573276906387	-0.6143947248917748
80	658.0060079097748	0.20417379446695297	lower_left	left	True	-0.8335104980145417	-0.73039177361339	-0.6178081940105692
81	663.5941309928894	0.22387211385683395	upper_right	right	True	-0.8357313795917409	-0.7325205094005536	-0.6204648814242157
82	669.2655889987946	0.19054607179632474	upper_right	right	True	-0.8383967531892311	-0.7353204986800473	-0.6236352409089115
83	675.0037751197815	0.22387211385683395	lower_left	left	True	-0.8400785567978004	-0.7370995812095389	-0.6256966291423341
84	680.8757541179657	0.21877616239495523	lower_right	left	False	-0.8432982689535411	-0.7399660485908138	-0.6293033048905099
85	687.1640701293945	0.22387211385683395	upper_right	right	True	-0.8393112155820237	-0.736603545363923	-0.6253716772021756
86	693.0522859096527	0.19498445997580455	lower_right	right	True	-0.8423399305665901	-0.7394447138590795	-0.6289350770494959
87	698.8405609130859	0.251188643150958	lower_left	left	True	-0.8444854738170389	-0.7413856613510702	-0.6311634802485244
88	704.4953489303589	0.19054607179632474	upper_left	left	True	-0.8481537617934694	-0.7452861935640088	-0.6357681669819993
89	710.3336589336395	0.20417379446695297	upper_right	right	True	-0.849925626922887	-0.7471553201519712	-0.6379894002116813
90	716.4721081256866	0.21877616239495523	lower_right	right	True	-0.852604492273215	-0.7494732940916207	-0.6407318555285937
